[2025-05-13 14:09:39,447] 18 root - INFO - Initiate the data ingestion
[2025-05-13 14:09:40,686] 63 root - INFO - Performed train test split on dataframe
[2025-05-13 14:09:40,686] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-13 14:09:40,686] 72 root - INFO - Exporting train and test file path
[2025-05-13 14:09:40,709] 82 root - INFO - Exported train and test file path
[2025-05-13 14:09:40,710] 20 root - INFO - Data initiation completed
[2025-05-13 14:09:40,712] 24 root - INFO - Initiate the data Validation
[2025-05-13 14:09:40,723] 36 root - INFO - Required number of columns:2
[2025-05-13 14:09:40,723] 37 root - INFO - Data frame has columns:31
[2025-05-13 14:09:40,723] 36 root - INFO - Required number of columns:2
[2025-05-13 14:09:40,723] 37 root - INFO - Data frame has columns:31
[2025-05-13 14:09:40,783] 26 root - INFO - Data validation completed
[2025-05-13 14:09:40,783] 29 root - INFO - Data transformation started
[2025-05-13 14:09:40,783] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-13 14:09:40,783] 65 root - INFO - Starting data transformation
[2025-05-13 14:09:40,787] 49 root - INFO - Entered get_data_transformer_object method of Transformaion class
[2025-05-13 14:09:40,787] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-13 14:09:40,790] 50 root - INFO - Entered the save_object method of MainUtils class
[2025-05-13 14:09:40,793] 54 root - INFO - Exited the save_object method of MainUtils class
[2025-05-13 14:09:40,793] 33 root - INFO - Data transformation completed
[2025-05-13 14:09:40,793] 35 root - INFO - Model Trainer Started
[2025-05-13 14:09:42,230] 50 root - INFO - Entered the save_object method of MainUtils class
[2025-05-13 14:09:42,230] 54 root - INFO - Exited the save_object method of MainUtils class
[2025-05-13 14:09:42,230] 99 root - INFO - Model trainer artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts/05_13_2025_14_09_37/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9951259138911455, precision_score=0.9943181818181818, recall_score=0.9959349593495935), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9951259138911455, precision_score=0.9943181818181818, recall_score=0.9959349593495935))
[2025-05-13 14:09:42,231] 40 root - INFO - Model Training Artifact Created
