[2025-05-13 14:23:31,468] 18 root - INFO - Initiate the data ingestion
[2025-05-13 14:23:32,933] 63 root - INFO - Performed train test split on dataframe
[2025-05-13 14:23:32,933] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-13 14:23:32,933] 72 root - INFO - Exporting train and test file path
[2025-05-13 14:23:32,957] 82 root - INFO - Exported train and test file path
[2025-05-13 14:23:32,957] 20 root - INFO - Data initiation completed
[2025-05-13 14:23:32,960] 24 root - INFO - Initiate the data Validation
[2025-05-13 14:23:32,969] 36 root - INFO - Required number of columns:2
[2025-05-13 14:23:32,969] 37 root - INFO - Data frame has columns:31
[2025-05-13 14:23:32,969] 36 root - INFO - Required number of columns:2
[2025-05-13 14:23:32,969] 37 root - INFO - Data frame has columns:31
[2025-05-13 14:23:33,034] 26 root - INFO - Data validation completed
[2025-05-13 14:23:33,034] 29 root - INFO - Data transformation started
[2025-05-13 14:23:33,034] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-13 14:23:33,034] 65 root - INFO - Starting data transformation
[2025-05-13 14:23:33,038] 49 root - INFO - Entered get_data_transformer_object method of Transformaion class
[2025-05-13 14:23:33,038] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-13 14:23:33,041] 50 root - INFO - Entered the save_object method of MainUtils class
[2025-05-13 14:23:33,041] 54 root - INFO - Exited the save_object method of MainUtils class
[2025-05-13 14:23:33,041] 33 root - INFO - Data transformation completed
[2025-05-13 14:23:33,041] 35 root - INFO - Model Trainer Started
